item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,-5.15,24.421562,-0.2677472,-0.04663
89049,0.37,-2.373,2.7430468,0.0033502355,-0.02148
54595,17.52,-21.97,39.48875,0.15863818,-0.199
39470,-56.76,6.215,62.974842,-0.5139442,0.05627
47835,0.040000003,-2.281,2.32125,0.00036218762,-0.02066
45113,-44.97,-14.51,30.462189,-0.40718943,-0.1313
96227,-326.74,-184.2,142.48999,-2.9585295,-1.668
92083,-52.480003,-52.03,0.44875336,-0.47519016,-0.4712
103135,-270.49002,-223.6,46.86502,-2.4492033,-2.025
72155,-102.549995,-74.06,28.487495,-0.92855847,-0.6704
24471,38.61,51.78,13.171249,0.3496016,0.4688
56030,69.64,-168.4,238.015,0.6305686,-1.524
44007,73.39,36.53,36.85875,0.6645237,0.3308
44732,-24.0,-52.75,28.75,-0.21731257,-0.4775
91847,-0.3,-11.97,11.66875,-0.0027164072,-0.1084
114782,30.539999,11.625,18.914999,0.27653024,0.1053
21977,-0.16000001,-57.3,57.1525,-0.0014487505,-0.519
95696,5.03,-4.492,9.522188,0.045545094,-0.04068
7692,-136.32,-29.02,107.30438,-1.2343354,-0.2627
10354,-105.86,-41.2,64.6725,-0.95852953,-0.3728
556,76.25,78.25,2.0,0.69042015,0.7085
25351,29.36,39.6,10.233749,0.26584572,0.3586
43876,-5.3700004,9.95,15.323126,-0.04862369,0.09015
28895,-9.16,4.832,13.992031,-0.082940966,0.04376
117867,192.73999,93.3,99.42749,1.745201,0.8447
24699,19.18,-2.812,21.9925,0.17366897,-0.02547
37106,-23.05,-65.5,42.45,-0.20871061,-0.5933
24390,75.39,34.44,40.9525,0.6826331,0.3118
106735,287.0,211.9,75.125,2.5986962,1.919
105787,96.97,56.1,40.87625,0.87803334,0.508
34705,-51.79,-50.22,1.5712509,-0.4689424,-0.4548
91733,421.47,-31.62,453.095,3.8162804,-0.2864
38562,120.1,179.5,59.4,1.0874683,1.625
91653,-93.09,-162.1,69.035,-0.8429011,-1.468
35835,37.4,-47.53,84.93125,0.33864543,-0.4304
97569,-368.49,-333.0,35.48999,-3.3365629,-3.016
73235,98.31,101.1,2.8150024,0.8901666,0.9155
46726,-0.11000001,13.86,13.969375,-0.000996016,0.1255
2765,71.6,33.06,38.5375,0.64831585,0.2993
51413,-75.979996,-112.8,36.832504,-0.68797535,-1.021
99545,-143.95999,-164.8,20.790009,-1.3035132,-1.491
105213,3.5700002,2.504,1.0660939,0.032325245,0.02267
50865,-4.17,-11.34,7.17375,-0.03775806,-0.1027
31446,25.35,-2.373,27.723047,0.2295364,-0.02148
110751,52.75,-49.0,101.75,0.4776349,-0.4436
52681,-176.34999,-185.4,9.025009,-1.5967946,-1.679
40254,-39.48,-60.66,21.17625,-0.35747918,-0.5493
85529,-0.05,-7.895,7.844531,-0.00045273453,-0.0715
109116,139.15001,72.94,66.21251,1.2599602,0.6606
21517,86.74,116.1,29.385002,0.78540385,1.052
17724,-236.0,-63.1,172.90625,-2.1369069,-0.5713
10520,94.71,76.56,18.1475,0.8575697,0.6934
85431,-180.98999,-129.0,51.98999,-1.6388084,-1.168
102922,0.49,-3.236,3.7263281,0.0044367984,-0.02931
69097,0.09,72.6,72.535,0.00081492215,0.6577
58495,57.089996,5.688,51.402496,0.51693225,0.05148
111621,-59.370003,-102.4,43.004997,-0.537577,-0.9272
22974,-70.28,-81.0,10.720001,-0.6363636,-0.7334
17247,60.43,96.44,36.0075,0.54717493,0.873
72458,-98.9,-111.6,12.724998,-0.8955089,-1.011
7787,-391.18,-365.8,25.429993,-3.5420136,-3.312
45891,-93.43,-85.0,8.43,-0.8459797,-0.7695
92724,-187.20999,-76.06,111.14749,-1.6951286,-0.689
