item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,5.3660054,34.936005,-0.2677472,0.048587516
89049,0.37,-2.8959126,3.2659125,0.0033502355,-0.026221592
54595,17.52,6.4500723,11.069928,0.15863818,0.058403406
39470,-56.76,2.4108603,59.17086,-0.5139442,0.021829594
47835,0.040000003,-1.1234349,1.1634349,0.00036218762,-0.010172355
45113,-44.97,-9.716282,35.25372,-0.40718943,-0.08797792
96227,-326.74,-66.27831,260.46167,-2.9585295,-0.6001296
92083,-52.480003,-143.94412,91.46412,-0.47519016,-1.3033694
103135,-270.49002,-206.73773,63.75229,-2.4492033,-1.8719461
72155,-102.549995,-103.891846,1.3418503,-0.92855847,-0.9407085
24471,38.61,95.85662,57.24662,0.3496016,0.86795205
56030,69.64,-152.51917,222.15916,0.6305686,-1.3810138
44007,73.39,12.444783,60.945217,0.6645237,0.11268366
44732,-24.0,-119.788445,95.788445,-0.21731257,-1.0846473
91847,-0.3,0.61624706,0.91624707,-0.0027164072,0.005579926
114782,30.539999,-2.0152073,32.555206,0.27653024,-0.018247077
21977,-0.16000001,-63.356388,63.19639,-0.0014487505,-0.5736725
95696,5.03,15.969364,10.9393635,0.045545094,0.14459765
7692,-136.32,-179.28734,42.96733,-1.2343354,-1.6233913
10354,-105.86,-35.548782,70.31122,-0.95852953,-0.3218832
556,76.25,44.13354,32.11646,0.69042015,0.39961556
25351,29.36,17.3488,12.0112,0.26584572,0.15708801
43876,-5.3700004,-17.149734,11.779734,-0.04862369,-0.15528554
28895,-9.16,-23.302353,14.142353,-0.082940966,-0.21099558
117867,192.73999,102.61262,90.12737,1.745201,0.9291255
24699,19.18,-9.924047,29.104048,0.17366897,-0.08985918
37106,-23.05,-5.6747723,17.375227,-0.20871061,-0.051383305
24390,75.39,17.057384,58.332615,0.6826331,0.15444933
106735,287.0,199.52048,87.47952,2.5986962,1.8065962
105787,96.97,54.63422,42.33578,0.87803334,0.49469596
34705,-51.79,-69.12794,17.337936,-0.4689424,-0.62593204
