item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,20.842333,50.41233,-0.2677472,0.18872087
89049,0.37,-0.79746264,1.1674626,0.0033502355,-0.007220777
54595,17.52,-23.185455,40.705456,0.15863818,-0.20993711
39470,-56.76,-6.0001664,50.75983,-0.5139442,-0.05432965
47835,0.040000003,-5.727598,5.767598,0.00036218762,-0.05186163
45113,-44.97,38.95664,83.926636,-0.40718943,0.3527403
96227,-326.74,-111.25933,215.48065,-2.9585295,-1.0074188
92083,-52.480003,-108.48061,56.00061,-0.47519016,-0.9822584
103135,-270.49002,-267.32877,3.161255,-2.4492033,-2.4205792
72155,-102.549995,-99.84949,2.700508,-0.92855847,-0.9041062
24471,38.61,63.59778,24.987778,0.3496016,0.5758582
56030,69.64,-87.17886,156.81886,0.6305686,-0.7893776
44007,73.39,25.261232,48.12877,0.6645237,0.22873263
44732,-24.0,-74.86429,50.86429,-0.21731257,-0.67787296
91847,-0.3,-3.7721152,3.4721153,-0.0027164072,-0.034155335
114782,30.539999,-0.3962948,30.936295,0.27653024,-0.0035883267
21977,-0.16000001,-53.449463,53.289463,-0.0014487505,-0.48396832
95696,5.03,21.867764,16.837763,0.045545094,0.19800583
7692,-136.32,-106.739746,29.580261,-1.2343354,-0.96649534
10354,-105.86,-31.916243,73.943756,-0.95852953,-0.2889917
556,76.25,58.04366,18.20634,0.69042015,0.52556735
25351,29.36,27.237564,2.1224365,0.26584572,0.2466277
43876,-5.3700004,-10.650613,5.2806125,-0.04862369,-0.096438
28895,-9.16,-23.44497,14.284969,-0.082940966,-0.21228693
117867,192.73999,111.62829,81.1117,1.745201,1.0107596
24699,19.18,-5.275521,24.45552,0.17366897,-0.047768205
37106,-23.05,42.285656,65.335655,-0.20871061,0.38288352
24390,75.39,21.597952,53.792046,0.6826331,0.19556277
106735,287.0,239.39523,47.604767,2.5986962,2.1676497
105787,96.97,51.299103,45.6709,0.87803334,0.4644975
34705,-51.79,-38.60687,13.183132,-0.4689424,-0.34957322
91733,421.47,36.515533,384.95447,3.8162804,0.33063686
38562,120.1,213.65445,93.55445,1.0874683,1.9345748
91653,-93.09,-146.78549,53.695496,-0.8429011,-1.3290972
35835,37.4,-88.701324,126.101326,0.33864543,-0.803163
97569,-368.49,-372.11697,3.6269836,-3.3365629,-3.369404
73235,98.31,69.24226,29.067734,0.8901666,0.62696725
46726,-0.11000001,0.8684113,0.9784113,-0.000996016,0.007863196
2765,71.6,58.838993,12.761005,0.64831585,0.53276885
51413,-75.979996,-42.435642,33.544353,-0.68797535,-0.3842416
99545,-143.95999,-151.8152,7.8552094,-1.3035132,-1.3746396
105213,3.5700002,-6.4709234,10.040924,0.032325245,-0.058592208
50865,-4.17,-45.625282,41.455284,-0.03775806,-0.4131228
31446,25.35,5.7221675,19.627832,0.2295364,0.051812455
110751,52.75,-40.74566,93.49566,0.4776349,-0.36893934
52681,-176.34999,-171.03937,5.310623,-1.5967946,-1.5487086
40254,-39.48,-47.46219,7.982189,-0.35747918,-0.42975542
85529,-0.05,-10.397064,10.347064,-0.00045273453,-0.0941422
109116,139.15001,106.69372,32.45629,1.2599602,0.9660786
