item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,-7.833805,21.736195,-0.2677472,-0.07093268
89049,0.37,1.3494865,0.97948647,0.0033502355,0.012219182
54595,17.52,-10.994273,28.514275,0.15863818,-0.09954974
39470,-56.76,-59.21262,2.4526215,-0.5139442,-0.53615195
47835,0.040000003,2.2186468,2.1786468,0.00036218762,0.020089159
45113,-44.97,-7.2613745,37.708626,-0.40718943,-0.065749496
96227,-326.74,-135.98778,190.75221,-2.9585295,-1.2313272
92083,-52.480003,-140.44855,87.968544,-0.47519016,-1.2717181
103135,-270.49002,-287.9329,17.442871,-2.4492033,-2.6071432
72155,-102.549995,-39.20494,63.345055,-0.92855847,-0.3549886
24471,38.61,37.902504,0.70749664,0.3496016,0.34319544
56030,69.64,-147.06354,216.70354,0.6305686,-1.3316149
44007,73.39,-0.55100816,73.94101,0.6645237,-0.004989208
44732,-24.0,-81.173515,57.173515,-0.21731257,-0.735001
91847,-0.3,-3.4641094,3.1641095,-0.0027164072,-0.031366438
114782,30.539999,0.8689323,29.671066,0.27653024,0.007867913
21977,-0.16000001,-99.37091,99.21091,-0.0014487505,-0.8997728
95696,5.03,22.504395,17.474394,0.045545094,0.20377032
7692,-136.32,-274.05273,137.73273,-1.2343354,-2.4814627
10354,-105.86,-57.83355,48.02645,-0.95852953,-0.5236649
556,76.25,46.601257,29.648743,0.69042015,0.42195997
25351,29.36,42.41525,13.055248,0.26584572,0.38405696
43876,-5.3700004,-2.3608344,3.009166,-0.04862369,-0.021376625
28895,-9.16,-25.092918,15.932919,-0.082940966,-0.2272086
117867,192.73999,25.711851,167.02814,1.745201,0.23281285
24699,19.18,-1.4047191,20.584719,0.17366897,-0.012719297
37106,-23.05,4.494186,27.544186,-0.20871061,0.040693462
24390,75.39,-31.956558,107.34656,0.6826331,-0.28935674
106735,287.0,220.75133,66.24867,2.5986962,1.998835
105787,96.97,40.165348,56.804653,0.87803334,0.36368477
34705,-51.79,-26.664288,25.125713,-0.4689424,-0.24143687
91733,421.47,9.580887,411.8891,3.8162804,0.08675197
38562,120.1,179.3103,59.210304,1.0874683,1.6235993
91653,-93.09,-127.59358,34.503586,-0.8429011,-1.1553204
35835,37.4,-59.80245,97.20245,0.33864543,-0.54149264
97569,-368.49,-307.6357,60.85428,-3.3365629,-2.785546
73235,98.31,150.26509,51.955093,0.8901666,1.3606039
46726,-0.11000001,2.2986069,2.4086068,-0.000996016,0.020813173
2765,71.6,4.578761,67.02124,0.64831585,0.041459262
51413,-75.979996,-121.66858,45.688583,-0.68797535,-1.1016713
99545,-143.95999,-131.55968,12.400314,-1.3035132,-1.1912322
105213,3.5700002,-21.472095,25.042095,0.032325245,-0.19442317
50865,-4.17,-13.752418,9.5824175,-0.03775806,-0.124523886
31446,25.35,-11.184179,36.53418,0.2295364,-0.10126928
110751,52.75,6.649908,46.10009,0.4776349,0.060212858
52681,-176.34999,-155.23302,21.116974,-1.5967946,-1.4055868
40254,-39.48,-33.677917,5.802082,-0.35747918,-0.3049431
85529,-0.05,-10.087663,10.0376625,-0.00045273453,-0.09134066
109116,139.15001,25.16678,113.98323,1.2599602,0.22787741
21517,86.74,63.30522,23.434776,0.78540385,0.57320917
17724,-236.0,-10.707604,225.29239,-2.1369069,-0.09695404
10520,94.71,80.7208,13.989197,0.8575697,0.7309019
85431,-180.98999,-151.78793,29.202057,-1.6388084,-1.3743927
102922,0.49,0.41516033,0.07483968,0.0044367984,0.0037591483
69097,0.09,26.541588,26.451588,0.00081492215,0.24032585
58495,57.089996,3.1605446,53.92945,0.51693225,0.028617753
111621,-59.370003,-17.816402,41.5536,-0.537577,-0.16132201
22974,-70.28,-38.924465,31.355534,-0.6363636,-0.35244897
17247,60.43,118.545044,58.115044,0.54717493,1.0733887
72458,-98.9,-112.68957,13.789566,-0.8955089,-1.0203692
7787,-391.18,-385.188,5.9920044,-3.5420136,-3.487758
45891,-93.43,-53.4871,39.9429,-0.8459797,-0.4843091
92724,-187.20999,-67.03839,120.1716,-1.6951286,-0.60701185
8756,0.07,12.16838,12.09838,0.00063382834,0.11018091
72648,-0.030000001,-42.0705,42.0405,-0.00027164072,-0.38093534
97624,-0.38000003,32.944653,33.324654,-0.0034407824,0.29830363
74524,-67.55,-77.564445,10.014442,-0.6116443,-0.70232207
30504,-96.560005,-159.01717,62.45716,-0.8743209,-1.4398512
66015,-36.14,-56.43988,20.299881,-0.3272365,-0.51104563
84607,-292.89,-239.61368,53.276337,-2.6520283,-2.1696277
7009,-115.68,-57.621838,58.058163,-1.0474466,-0.5217479
68932,-22.13,-2.6171951,19.512804,-0.2003803,-0.023697892
18634,4.9,-18.23555,23.13555,0.044367984,-0.16511726
61868,-163.18001,20.227367,183.40738,-1.4775444,0.18315256
107623,-0.05,2.5312169,2.5812168,-0.00045273453,0.022919385
78348,56.73,54.782322,1.9476776,0.5136726,0.49603698
106342,-14.67,-1.8878481,12.782152,-0.1328323,-0.01709388
