item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,15.8,45.366875,-0.2677472,0.1431
89049,0.37,-0.0923,0.46228516,0.0033502355,-0.0008354
54595,17.52,8.664,8.855938,0.15863818,0.0784
39470,-56.76,10.78,67.541245,-0.5139442,0.0976
47835,0.040000003,-2.703,2.743125,0.00036218762,-0.02448
45113,-44.97,-4.258,40.71219,-0.40718943,-0.03854
96227,-326.74,-128.0,198.73999,-2.9585295,-1.159
92083,-52.480003,-131.0,78.52,-0.47519016,-1.187
103135,-270.49002,-351.8,81.25998,-2.4492033,-3.186
72155,-102.549995,-54.44,48.112495,-0.92855847,-0.493
24471,38.61,63.16,24.54625,0.3496016,0.572
56030,69.64,-226.5,296.14,0.6305686,-2.05
44007,73.39,26.75,46.64,0.6645237,0.2422
44732,-24.0,-83.7,59.6875,-0.21731257,-0.758
91847,-0.3,4.336,4.6359377,-0.0027164072,0.03928
114782,30.539999,13.78,16.758749,0.27653024,0.12476
21977,-0.16000001,-84.2,84.0275,-0.0014487505,-0.762
95696,5.03,1.308,3.722383,0.045545094,0.01184
7692,-136.32,-129.1,7.1950073,-1.2343354,-1.169
10354,-105.86,-94.7,11.172501,-0.95852953,-0.8574
556,76.25,128.0,51.75,0.69042015,1.159
25351,29.36,-6.867,36.22719,0.26584572,-0.0622
43876,-5.3700004,15.46,20.830938,-0.04862369,0.14
28895,-9.16,-5.098,4.0623436,-0.082940966,-0.04614
117867,192.73999,68.56,124.17749,1.745201,0.621
24699,19.18,28.55,9.366875,0.17366897,0.2585
37106,-23.05,-37.2,14.137501,-0.20871061,-0.3367
24390,75.39,3.025,72.36461,0.6826331,0.02739
106735,287.0,190.6,96.375,2.5986962,1.726
105787,96.97,43.25,53.72,0.87803334,0.3916
34705,-51.79,-51.84,0.053749084,-0.4689424,-0.4695
91733,421.47,-19.14,440.61063,3.8162804,-0.1733
38562,120.1,183.1,63.025,1.0874683,1.658
91653,-93.09,-138.1,45.035004,-0.8429011,-1.251
35835,37.4,-89.44,126.8375,0.33864543,-0.81
97569,-368.49,-396.8,28.26001,-3.3365629,-3.592
73235,98.31,66.4,31.934998,0.8901666,0.601
46726,-0.11000001,0.8755,0.9854883,-0.000996016,0.00793
2765,71.6,4.598,67.00234,0.64831585,0.04163
51413,-75.979996,-88.06,12.082504,-0.68797535,-0.7974
99545,-143.95999,-151.5,7.5400085,-1.3035132,-1.372
105213,3.5700002,15.35,11.781563,0.032325245,0.139
50865,-4.17,-31.06,26.8925,-0.03775806,-0.2812
31446,25.35,4.6,20.748438,0.2295364,0.04166
110751,52.75,-0.9673,53.717285,0.4776349,-0.00876
52681,-176.34999,-152.1,24.22499,-1.5967946,-1.378
40254,-39.48,-34.53,4.9487495,-0.35747918,-0.3127
85529,-0.05,-9.88,9.832812,-0.00045273453,-0.0895
109116,139.15001,97.94,41.21251,1.2599602,0.8867
21517,86.74,52.97,33.771248,0.78540385,0.4795
17724,-236.0,-204.6,31.375,-2.1369069,-1.853
10520,94.71,95.94,1.2275009,0.8575697,0.8687
85431,-180.98999,-130.1,50.86499,-1.6388084,-1.179
102922,0.49,-36.34,36.83375,0.0044367984,-0.329
69097,0.09,-0.01202,0.1020163,0.00081492215,-0.00010884
58495,57.089996,4.03,53.058746,0.51693225,0.0365
111621,-59.370003,-48.88,10.495003,-0.537577,-0.4426
22974,-70.28,-118.94,48.6575,-0.6363636,-1.077
17247,60.43,82.7,22.2575,0.54717493,0.7485
72458,-98.9,-101.9,2.9749985,-0.8955089,-0.9224
7787,-391.18,-361.2,29.929993,-3.5420136,-3.271
45891,-93.43,-80.8,12.6175,-0.8459797,-0.732
92724,-187.20999,-132.8,54.45999,-1.6951286,-1.202
8756,0.07,-0.3926,0.46257812,0.00063382834,-0.003555
72648,-0.030000001,-10.164,10.134063,-0.00027164072,-0.09204
97624,-0.38000003,16.3,16.676874,-0.0034407824,0.1476
74524,-67.55,-91.3,23.762497,-0.6116443,-0.8267
30504,-96.560005,-122.6,26.064995,-0.8743209,-1.11
66015,-36.14,-55.12,18.985,-0.3272365,-0.499
84607,-292.89,-244.6,48.265015,-2.6520283,-2.215
7009,-115.68,-73.7,41.9925,-1.0474466,-0.6675
68932,-22.13,7.92,30.051874,-0.2003803,0.0717
18634,4.9,-27.94,32.8375,0.044367984,-0.253
61868,-163.18001,57.88,221.05501,-1.4775444,0.524
107623,-0.05,-4.508,4.4578123,-0.00045273453,-0.0408
78348,56.73,50.06,6.6674995,0.5136726,0.4534
106342,-14.67,-3.164,11.505938,-0.1328323,-0.02866
98053,5.8900003,-73.3,79.2025,0.053332128,-0.6636
117419,70.32,57.88,12.445,0.63672584,0.524
23273,-77.18,-50.72,26.46125,-0.698841,-0.4592
41666,0.05,47.62,47.575,0.00045273453,0.4312
90581,0.0,-4.45,4.4492188,0.0,-0.04028
36092,-61.54,-44.25,17.29,-0.55722564,-0.4006
24948,-13.87,-19.4,5.53625,-0.12558855,-0.1758
70200,-153.57,-146.4,7.1950073,-1.3905288,-1.325
20598,182.79001,147.4,35.41501,1.6551069,1.334
120482,-131.91,-21.86,110.05063,-1.1944042,-0.1979
60042,-0.15,-1.207,1.0570313,-0.0013582036,-0.01093
75545,-94.810005,-103.56,8.752495,-0.8584752,-0.9375
87931,6.3100004,-23.25,29.560001,0.057135098,-0.2106
50850,-35.24,-47.66,12.416248,-0.3190873,-0.4316
58836,-50.5,-42.78,7.71875,-0.45726186,-0.3875
32796,39.0,6.137,32.86328,0.35313293,0.05557
70183,-49.800003,-11.49,38.307816,-0.4509236,-0.10406
77834,-20.13,-102.1,81.995,-0.18227091,-0.925
17308,45.65,43.8,1.8375015,0.41334662,0.3967
27615,7.7900004,11.65,3.858437,0.07053604,0.10547
118283,46.850002,14.94,31.912502,0.42421225,0.1353
17451,0.030000001,-12.305,12.334687,0.00027164072,-0.11145
114820,5.6200004,78.8,73.1925,0.05088736,0.714
85887,-172.09001,-54.22,117.87126,-1.5582217,-0.491
44927,42.7,47.5,4.799999,0.38663527,0.4302
74298,163.61,172.9,9.264999,1.4814379,1.565
71761,-97.579994,8.67,106.25187,-0.88355666,0.07855
39895,164.73001,80.75,83.98001,1.4915792,0.7314
111711,145.22,80.75,64.47,1.3149221,0.7314
114056,6.1400003,-6.26,12.401719,0.0555958,-0.0567
13178,54.54,46.84,7.696251,0.4938428,0.424
66370,-56.85,-8.94,47.9125,-0.5147591,-0.08093
110722,23.0,27.17,4.171875,0.20825788,0.2461
99273,63.55,-24.38,87.925,0.57542557,-0.2207
118151,0.09,-2.006,2.0958593,0.00081492215,-0.01816
24128,122.71,254.4,131.66501,1.111101,2.303
60443,-31.71,20.4,52.11625,-0.28712422,0.1848
75748,475.65,202.6,273.025,4.3068633,1.835
54959,-0.15,-1.753,1.6029297,-0.0013582036,-0.01587
34472,192.54,154.8,37.789993,1.7433901,1.401
95260,27.76,46.56,18.8025,0.2513582,0.4216
95248,-71.23,-167.9,96.645,-0.6449656,-1.52
120414,103.34,72.0,31.339996,0.9357117,0.652
88136,-13.410001,-50.97,37.55875,-0.1214234,-0.4614
88582,291.42,368.5,77.07999,2.638718,3.336
103146,-237.42,-20.0,217.42,-2.1497645,-0.181
75498,0.020000001,-3.188,3.2075,0.00018109381,-0.02885
64277,-51.82,-16.6,35.22625,-0.46921405,-0.1503
5083,146.93,55.66,91.27374,1.3304056,0.504
5372,-59.7,-54.72,4.981251,-0.540565,-0.4954
119813,-60.5,-48.22,12.28125,-0.54780877,-0.4365
57378,-282.72,-238.1,44.595,-2.559942,-2.156
55476,105.18,65.06,40.1175,0.9523723,0.589
49287,-417.57,-394.5,23.070007,-3.780967,-3.572
113837,-102.98,-7.805,95.175316,-0.932452,-0.0707
101300,-27.61,-70.1,42.515,-0.25,-0.635
119193,-128.65,-27.14,101.50937,-1.1648859,-0.2457
