item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,-26.69,2.8824997,-0.2677472,-0.2416
89049,0.37,-3.291,3.6610155,0.0033502355,-0.0298
54595,17.52,-15.38,32.902813,0.15863818,-0.1393
39470,-56.76,-17.55,39.213123,-0.5139442,-0.1589
47835,0.040000003,2.5,2.46,0.00036218762,0.02264
45113,-44.97,-10.164,34.80594,-0.40718943,-0.09204
96227,-326.74,-146.2,180.48999,-2.9585295,-1.324
92083,-52.480003,-131.4,78.895,-0.47519016,-1.189
103135,-270.49002,-347.8,77.25998,-2.4492033,-3.148
72155,-102.549995,-70.3,32.237495,-0.92855847,-0.6367
24471,38.61,25.4,13.203751,0.3496016,0.2301
56030,69.64,-95.5,165.14,0.6305686,-0.8647
44007,73.39,38.44,34.9525,0.6645237,0.3481
44732,-24.0,-64.0,40.0,-0.21731257,-0.5796
91847,-0.3,-4.66,4.360156,-0.0027164072,-0.0422
114782,30.539999,2.402,28.137655,0.27653024,0.02174
21977,-0.16000001,4.83,4.988125,-0.0014487505,0.04373
95696,5.03,-9.31,14.342501,0.045545094,-0.0843
7692,-136.32,-84.0,52.320007,-1.2343354,-0.7607
10354,-105.86,-45.22,60.64125,-0.95852953,-0.4094
556,76.25,78.06,1.8125,0.69042015,0.707
25351,29.36,17.6,11.766251,0.26584572,0.1593
43876,-5.3700004,-1.502,3.8680472,-0.04862369,-0.013596
28895,-9.16,-16.89,7.730625,-0.082940966,-0.153
117867,192.73999,153.9,38.86499,1.745201,1.394
24699,19.18,9.34,9.83625,0.17366897,0.0846
37106,-23.05,-21.77,1.2843742,-0.20871061,-0.197
24390,75.39,1.921,73.4691,0.6826331,0.0174
106735,287.0,162.4,124.625,2.5986962,1.471
105787,96.97,46.75,50.22,0.87803334,0.4233
34705,-51.79,-8.06,43.7275,-0.4689424,-0.073
91733,421.47,26.56,394.9075,3.8162804,0.2405
38562,120.1,201.0,80.9,1.0874683,1.82
91653,-93.09,-117.0,23.910004,-0.8429011,-1.06
35835,37.4,-22.23,59.634377,0.33864543,-0.2013
97569,-368.49,-333.8,34.73999,-3.3365629,-3.021
73235,98.31,30.77,67.54437,0.8901666,0.2786
46726,-0.11000001,4.047,4.156875,-0.000996016,0.03665
2765,71.6,39.88,31.724998,0.64831585,0.361
51413,-75.979996,-78.56,2.5825043,-0.68797535,-0.7114
99545,-143.95999,-90.56,53.39749,-1.3035132,-0.82
105213,3.5700002,16.14,12.570625,0.032325245,0.1461
50865,-4.17,-44.62,40.455,-0.03775806,-0.404
31446,25.35,-12.01,37.35781,0.2295364,-0.1087
110751,52.75,-41.94,94.6875,0.4776349,-0.3796
52681,-176.34999,-174.2,2.0999908,-1.5967946,-1.578
40254,-39.48,-36.34,3.1362495,-0.35747918,-0.329
85529,-0.05,-15.61,15.559375,-0.00045273453,-0.1414
109116,139.15001,78.56,60.58751,1.2599602,0.7114
21517,86.74,61.6,25.146248,0.78540385,0.5576
17724,-236.0,-112.6,123.375,-2.1369069,-1.02
10520,94.71,89.25,5.459999,0.8575697,0.808
85431,-180.98999,-184.4,3.3850098,-1.6388084,-1.67
102922,0.49,-2.848,3.3376563,0.0044367984,-0.02579
69097,0.09,-33.22,33.30875,0.00081492215,-0.3008
58495,57.089996,3.09,54.000153,0.51693225,0.02798
111621,-59.370003,-18.06,41.307503,-0.537577,-0.1636
22974,-70.28,-75.7,5.407501,-0.6363636,-0.6855
17247,60.43,129.2,68.82,0.54717493,1.17
72458,-98.9,-100.44,1.5374985,-0.8955089,-0.9097
7787,-391.18,-416.8,25.570007,-3.5420136,-3.773
45891,-93.43,-80.06,13.3675,-0.8459797,-0.725
92724,-187.20999,-169.8,17.459991,-1.6951286,-1.537
8756,0.07,5.945,5.8753123,0.00063382834,0.05383
72648,-0.030000001,-63.9,63.87625,-0.00027164072,-0.5786
97624,-0.38000003,-6.145,5.764531,-0.0034407824,-0.05563
74524,-67.55,-89.4,21.824997,-0.6116443,-0.809
30504,-96.560005,-149.8,53.189995,-0.8743209,-1.356
66015,-36.14,-37.66,1.5162506,-0.3272365,-0.341
84607,-292.89,-219.9,73.015015,-2.6520283,-1.991
7009,-115.68,-74.56,41.1175,-1.0474466,-0.6753
68932,-22.13,-23.53,1.4012508,-0.2003803,-0.2131
18634,4.9,-3.543,8.442968,0.044367984,-0.03207
61868,-163.18001,80.9,244.05501,-1.4775444,0.7324
107623,-0.05,-4.945,4.8953123,-0.00045273453,-0.04477
78348,56.73,32.47,24.26125,0.5136726,0.294
106342,-14.67,20.45,35.123123,-0.1328323,0.1852
98053,5.8900003,-86.56,92.4525,0.053332128,-0.7837
117419,70.32,57.0,13.32,0.63672584,0.516
23273,-77.18,-23.52,53.664375,-0.698841,-0.2129
41666,0.05,3.91,3.8601563,0.00045273453,0.0354
90581,0.0,-1.784,1.7841797,0.0,-0.01616
36092,-61.54,-27.72,33.82125,-0.55722564,-0.251
24948,-13.87,-61.47,47.59875,-0.12558855,-0.5566
70200,-153.57,-110.0,43.570007,-1.3905288,-0.996
20598,182.79001,181.2,1.5400085,1.6551069,1.642
120482,-131.91,-50.44,81.4725,-1.1944042,-0.4568
60042,-0.15,-5.082,4.932031,-0.0013582036,-0.04602
75545,-94.810005,-57.5,37.310005,-0.8584752,-0.5205
87931,6.3100004,-24.33,30.638126,0.057135098,-0.2203
50850,-35.24,-64.56,29.322498,-0.3190873,-0.5845
58836,-50.5,-97.4,46.875,-0.45726186,-0.882
32796,39.0,7.53,31.46875,0.35313293,0.0682
70183,-49.800003,-26.1,23.706253,-0.4509236,-0.2363
77834,-20.13,-191.1,170.995,-0.18227091,-1.73
17308,45.65,30.39,15.259377,0.41334662,0.2751
27615,7.7900004,15.72,7.9287496,0.07053604,0.1423
118283,46.850002,29.66,17.193752,0.42421225,0.2686
17451,0.030000001,9.51,9.477813,0.00027164072,0.08606
114820,5.6200004,51.47,45.84875,0.05088736,0.466
85887,-172.09001,-126.6,45.46501,-1.5582217,-1.146
44927,42.7,32.2,10.512501,0.38663527,0.2915
74298,163.61,152.1,11.485001,1.4814379,1.377
71761,-97.579994,18.77,116.34562,-0.88355666,0.1699
39895,164.73001,34.2,130.54251,1.4915792,0.3096
111711,145.22,113.8,31.407501,1.3149221,1.03
114056,6.1400003,-29.55,35.686874,0.0555958,-0.2676
13178,54.54,80.25,25.71,0.4938428,0.7266
66370,-56.85,605.5,662.35,-0.5147591,5.484
110722,23.0,16.06,6.9375,0.20825788,0.1455
99273,63.55,-151.4,214.925,0.57542557,-1.37
118151,0.09,-3.197,3.2872655,0.00081492215,-0.02895
24128,122.71,157.9,35.165,1.111101,1.43
60443,-31.71,15.1,46.81156,-0.28712422,0.1367
75748,475.65,137.8,337.9,4.3068633,1.247
54959,-0.15,-0.8325,0.68251956,-0.0013582036,-0.007538
34472,192.54,176.0,16.539993,1.7433901,1.594
95260,27.76,37.53,9.77125,0.2513582,0.3398
95248,-71.23,-106.6,35.394997,-0.6449656,-0.9653
120414,103.34,93.6,9.714996,0.9357117,0.8477
88136,-13.410001,-83.06,69.6525,-0.1214234,-0.752
88582,291.42,377.5,86.07999,2.638718,3.418
103146,-237.42,9.85,247.27156,-2.1497645,0.08923
75498,0.020000001,0.559,0.53908205,0.00018109381,0.005062
64277,-51.82,-22.94,28.8825,-0.46921405,-0.2076
5083,146.93,72.4,74.55499,1.3304056,0.6553
5372,-59.7,-38.03,21.66875,-0.540565,-0.3442
119813,-60.5,-44.12,16.375,-0.54780877,-0.3994
57378,-282.72,-298.0,15.279999,-2.559942,-2.697
55476,105.18,55.5,49.68,0.9523723,0.5024
49287,-417.57,-463.2,45.679993,-3.780967,-4.195
113837,-102.98,-22.16,80.82375,-0.932452,-0.2006
101300,-27.61,-49.1,21.48375,-0.25,-0.4446
119193,-128.65,-20.17,108.47812,-1.1648859,-0.1826
117062,133.25,-17.66,150.90625,1.2065375,-0.1599
69163,-69.479996,82.2,151.6675,-0.6291199,0.744
76551,18.73,37.9,19.17625,0.16959435,0.3433
97539,165.77,-41.38,207.145,1.500996,-0.3745
47765,-41.170002,-8.73,32.44344,-0.3727816,-0.07904
84297,84.549995,66.3,18.237495,0.76557404,0.6006
56879,-0.17,28.05,28.216875,-0.0015392974,0.254
13105,-15.089999,47.84,62.93375,-0.13663527,0.433
70651,23.31,7.062,16.2475,0.21106483,0.06396
24381,71.71,-30.2,101.913124,0.64931184,-0.2734
44057,-31.400002,-1.416,29.983986,-0.28431728,-0.01282
2593,168.23001,-13.93,182.1597,1.5232706,-0.1261
71638,319.97,311.8,8.220001,2.8972292,2.822
44358,81.990005,55.38,26.615005,0.7423941,0.5015
84446,142.12999,173.6,31.49501,1.2869431,1.572
106527,-19.53,13.4,32.928436,-0.1768381,0.12134
119756,427.14,574.0,146.85999,3.8676205,5.195
64809,182.83,45.1,137.73625,1.6554691,0.4082
54013,62.420002,116.5,54.079998,0.5651938,1.055
99342,77.579994,73.3,4.267494,0.70246285,0.664
93977,0.120000005,-0.507,0.62683594,0.0010865629,-0.00459
117784,15.929999,19.44,3.5075006,0.14424121,0.176
38036,182.35,209.9,27.524994,1.6511228,1.9
11826,-5.21,-13.72,8.50875,-0.047174938,-0.1242
113363,180.34999,-94.1,274.47498,1.6330134,-0.8525
51298,34.21,-25.11,59.319374,0.30976096,-0.2274
92853,-0.030000001,1.118,1.148164,-0.00027164072,0.010124
19935,27.55,-45.4,72.95625,0.24945672,-0.4111
30850,-100.54,59.22,159.75876,-0.91035855,0.536
1296,193.97,151.4,42.595,1.7563382,1.37
66622,-6.38,39.8,46.1925,-0.057768926,0.3606
88320,-140.87001,-18.42,122.448135,-1.2755343,-0.1669
47010,-105.63,-84.7,20.942497,-0.95644695,-0.7666
67218,-96.880005,-33.16,63.723755,-0.8772184,-0.3003
60019,464.38004,-87.06,551.4425,4.2048173,-0.788
33483,-62.769997,-42.8,19.957497,-0.5683629,-0.3877
46742,118.630005,45.06,73.567505,1.074158,0.408
14200,44.32,53.53,9.21125,0.4013039,0.4846
33007,-57.399998,-145.1,87.725006,-0.5197392,-1.314
19738,0.020000001,34.22,34.19875,0.00018109381,0.3098
66655,-83.43,4.79,88.21906,-0.7554328,0.04337
61346,-166.95001,-131.4,35.575012,-1.5116806,-1.189
60395,21.12,8.03,13.088751,0.19123507,0.0727
90929,-52.62,-74.1,21.505001,-0.4764578,-0.671
54403,-162.76,-177.2,14.4900055,-1.4737414,-1.6045
92427,80.45,-17.66,98.10625,0.7284498,-0.1599
