item_id,true_value_unscaled,prediction_unscaled,Unscaled Error,true_value_scaled,prediction_scaled
101480,-29.57,-28.23198,1.3380203,-0.2677472,-0.25563183
89049,0.37,-2.5223486,2.8923488,0.0033502355,-0.022839086
54595,17.52,-29.712523,47.23252,0.15863818,-0.2690377
39470,-56.76,-16.214184,40.545815,-0.5139442,-0.1468144
47835,0.040000003,6.838791,6.798791,0.00036218762,0.061923135
45113,-44.97,14.452617,59.42262,-0.40718943,0.13086396
96227,-326.74,-138.92688,187.81311,-2.9585295,-1.2579399
92083,-52.480003,-121.48015,69.000145,-0.47519016,-1.0999651
103135,-270.49002,-353.19208,82.70206,-2.4492033,-3.1980448
72155,-102.549995,-69.04483,33.505165,-0.92855847,-0.6251795
24471,38.61,3.125473,35.484528,0.3496016,0.02830019
56030,69.64,-116.87814,186.51814,0.6305686,-1.0582954
44007,73.39,38.246223,35.143776,0.6645237,0.34630772
44732,-24.0,-75.95941,51.95941,-0.21731257,-0.68778896
91847,-0.3,-0.76594967,0.46594965,-0.0027164072,-0.006935437
114782,30.539999,13.108141,17.431858,0.27653024,0.118690155
21977,-0.16000001,78.90283,79.062836,-0.0014487505,0.7144407
95696,5.03,12.582812,7.552812,0.045545094,0.11393347
7692,-136.32,-169.79083,33.470825,-1.2343354,-1.5374033
10354,-105.86,-44.740192,61.11981,-0.95852953,-0.4051086
556,76.25,141.84244,65.59244,0.69042015,1.2843393
25351,29.36,16.976479,12.383522,0.26584572,0.15371676
43876,-5.3700004,-15.182008,9.812008,-0.04862369,-0.13746838
28895,-9.16,8.887328,18.047329,-0.082940966,0.080472
117867,192.73999,134.22398,58.516006,1.745201,1.2153566
24699,19.18,13.111384,6.068616,0.17366897,0.118719526
37106,-23.05,-28.504623,5.454624,-0.20871061,-0.25810054
24390,75.39,11.338931,64.05107,0.6826331,0.10267051
106735,287.0,197.98645,89.01355,2.5986962,1.792706
105787,96.97,29.755249,67.21475,0.87803334,0.26942456
34705,-51.79,-38.887035,12.902966,-0.4689424,-0.35211006
91733,421.47,163.12735,258.34265,3.8162804,1.4770676
38562,120.1,224.62695,104.526955,1.0874683,2.0339274
91653,-93.09,-168.44264,75.352646,-0.8429011,-1.525196
35835,37.4,-75.50749,112.90749,0.33864543,-0.683697
97569,-368.49,-300.85553,67.63446,-3.3365629,-2.7241535
73235,98.31,70.29945,28.010544,0.8901666,0.6365398
46726,-0.11000001,1.2576541,1.3676541,-0.000996016,0.011387668
2765,71.6,42.945927,28.654072,0.64831585,0.38886207
51413,-75.979996,-46.52736,29.452637,-0.68797535,-0.42129084
99545,-143.95999,-157.31001,13.350021,-1.3035132,-1.4243934
105213,3.5700002,-2.7358453,6.3058453,0.032325245,-0.024772232
50865,-4.17,5.553396,9.723396,-0.03775806,0.05028428
31446,25.35,24.14495,1.2050495,0.2295364,0.21862505
110751,52.75,-58.518517,111.26852,0.4776349,-0.52986705
52681,-176.34999,-171.65114,4.6988525,-1.5967946,-1.5542479
40254,-39.48,-51.22191,11.741909,-0.35747918,-0.46379852
85529,-0.05,-2.0582905,2.0082905,-0.00045273453,-0.018637182
